EMPRESA,NOME FANTASIA,RAZÃO SOCIAL,CNPJ,"DATA DE
APRESENTAÇÃO
DO PROGRAMA",ÓRGÃO CONTRATANTE,"DATA DA
AVALIAÇÃO",RESULTADO,"LEGISLAÇÃO
APLICADA"
ANGLOS CONSTRUÇÕES LTDA,ANGLOS CONSTRUÇÕES LTDA,ANGLOS CONSTRUÇÕES LTDA,37.068.772/0001-75,24/10/2022,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",12/05/2023,Regular,Lei no 6.112/2018
"ARCADE TECNOLOGIA PROJETOS E
ENGENHARIA LTDA","ARCADE TECNOLOGIA PROJETOS E
ENGENHARIA LTDA","ARCADE TECNOLOGIA PROJETOS E
ENGENHARIA LTDA",00.850.974/0001-64,06/01/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
BANCO DE BRASÍLIA S.A,BANCO DE BRASÍLIA S.A,BANCO DE BRASÍLIA S.A,00.000.208.0001-00,16/01/2023,"INSTITUTO DE ASSISTÊNCIA À SAÚDE DOS
SERVIDORES DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
BASEVI CONSTRUÇÕES S/A,BASEVI CONSTRUÇÕES S/A,BASEVI CONSTRUÇÕES S/A,00.016.576/0001-47,06/01/2023,"SECRETARIA DE ESTADO DE OBRAS
E INFRAESTRUTURA DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
BASEVI CONSTRUÇÕES S/A,BASEVI CONSTRUÇÕES S/A,BASEVI CONSTRUÇÕES S/A,00.016.576/0001-47,13/03/2023,COMPANHIA IMOBILIÁRIA DE BRASÍLIA,26/06/2023,Regular,Lei no 6.112/2018
BRASÍLIA SEGURANÇA S/A,BRASÍLIA SEGURANÇA S/A,BRASÍLIA SEGURANÇA S/A,02.730.521/0001-20,30/01/2023,"COMPANHIA DE SANEAMENTO AMBIENTAL
DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
CAST INFORMÁTICA S.A,CAST INFORMÁTICA S.A,CAST INFORMÁTICA S.A,03.143.181/0001-01,13/03/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"CENTRAL IT TECNOLOGIA DA
INFORMAÇÃO S/A","CENTRAL IT TECNOLOGIA DA
INFORMAÇÃO S/A","CENTRAL IT TECNOLOGIA DA
INFORMAÇÃO S/A",07.171.299/0001-96,26/09/2022,"SECRETARIA DE ESTADO DE ECONOMIA DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"CENTRAL IT TECNOLOGIA DA
INFORMAÇÃO S/A","CENTRAL IT TECNOLOGIA DA
INFORMAÇÃO S/A","CENTRAL IT TECNOLOGIA DA
INFORMAÇÃO S/A",07.171.299/0001-96,28/03/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
CONSÓRCIO ARGOS-PBLM,CONSÓRCIO ARGOS-PBLM,CONSÓRCIO ARGOS-PBLM,30.743.352/0001-06,09/08/2021,"COMPANHIA DE SANEAMENTO AMBIENTAL
DO DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
CLARO S.A,CLARO S.A,CLARO S.A,40.432.544/0001-47,01/08/2022,"SECRETARIA DE ESTADO DE ECONOMIA DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"COMBRASEN - COMPANHIA
BRASILEIRA DE SOLUÇÕES EM
ENGENHARIA LTDA","COMBRASEN - COMPANHIA
BRASILEIRA DE SOLUÇÕES EM
ENGENHARIA LTDA","COMBRASEN - COMPANHIA
BRASILEIRA DE SOLUÇÕES EM
ENGENHARIA LTDA",06.043.260/0001-20,07/03/2023,"SECRETARIA DE ESTADO DE JUSTIÇA E
CIDADANIA DO DISTRITO FEDERAL",02/06/2023,Regular,Lei no 6.112/2018
